username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Uncle Waldorf,1275108261243437056,Seattle,2023-01-21 20:53:29,"Check out these useless cops.
ACAB https://t.co/56MZ6fpqmu",0,Twitter for Android,
Chalupa Batman,447570304,"Seattle, WA",2023-01-21 15:10:38,ACAB but an extra special fuck you to the hot cops in NY. Don't make me have conflicting feelings.,0,Twitter for Android,
"Sᗩᗰ, ᗩ ᑕᖇᗩᐯEᑎ OᑎE",269038291,"🌲Seattle, WA🌲",2023-01-21 05:56:30,OH: ACAB includes Wednesday Adams,0,Twitter for iPhone,
🇺🇦 Miguel C 🇺🇦,106497230,"Seattle, WA",2023-01-21 00:04:28,@rcpyle12 @GeeScottSr How much do you stand up against your own when they unjustly kill civilians and avoid any res… https://t.co/eAwize7aN0,0,Twitter Web App,
Jeremiah G,29107401,"Seattle, WA",2023-01-20 19:28:44,@YPTActual @elchefe So you don’t know what ACAB actually wants. Ok. Good to know,0,Twitter for iPhone,
the real blake,41020760,"Seattle, WA",2023-01-19 23:21:52,@stargazermellu @_nyancrimew acab except the pis,0,Twitter for iPhone,
Brenton⚡️📢,74088354,"Seattle, WA",2023-01-19 20:54:43,@peachmilfshake I don’t know about bike people in general but this one is a wannabe cop. Look how she uses her bike… https://t.co/FCNvsl1diF,0,Twitter for iPhone,
theantitwittler,1331667234851176449,"Seattle, WA",2023-01-19 14:43:57,"#ACAB in Atlanta or Seattle, every cop every time. https://t.co/oO6xvneNzh https://t.co/2xAokf8K69",0,Twitter for Android,
🥤S⭕️da Stan 👑,1421898044010684419,"Seattle, WA",2023-01-19 00:38:18,"If Derek Chauvin is released from his sentence, would that put him ahead of Trump and Desantis as favorite for the… https://t.co/8R1CJCRmND",0,Twitter for iPhone,
pink gold and blue,1605369272389480448,"Seattle, WA",2023-01-18 22:56:38,Oh No! #bloodontheirhands #ACAB https://t.co/hQl854AK1I,0,Twitter for Android,
dean spade,39568851,"Seattle, WA",2023-01-18 21:32:11,Teaching In Defense of Looting by @Vicky_ACAB again today. The student response papers are so much fun--the pleasur… https://t.co/xftgQRJuQ6,13,Twitter Web App,
🅨🅞🅤 ⓜⓤⓢⓣ 𝘣𝘦 𝖘𝖊𝖊𝖎𝖓𝖌 parodies.,1652821,"Seattle, WA",2023-01-18 20:08:24,"wow, nancy is all acab https://t.co/7hjre6BLM2",0,Twitter Web App,
-b,1213982870710079488,"Seattle, WA",2023-01-18 18:04:25,"@TenTonHeart In case you had any lingering doubts as to how police see the citizens as nothing but ""the enemy"", thi… https://t.co/2xCyHCh78h",1,Twitter Web App,
Lindsay ♿✡️🏳️‍⚧️🏳️‍🌈🧣,2949412370,"Seattle, WA",2023-01-18 07:36:16,@emmasaurustex I've been enjoying East New York and The Rookie a lot. I know ACAB but these are pretend cops!,0,Twitter Web App,
Gram Toker,2818409200,SEA,2023-01-18 02:02:44,Many are asking: is Barney Fife actually incompetent enough to be exempt from ACAB,0,Twitter for Android,
yobroski,1202045659609796608,"Seattle, WA",2023-01-17 23:49:30,ACAB part infinity … useless trash pigs https://t.co/Lzw9O5SQe3,0,Twitter for iPhone,
john carpenter's ghosts of tár,184080033,"seattle,wa",2023-01-17 18:33:32,mother winslow says acab,0,Twitter Web App,
❄️ winter's madwoman ❄️,954890695,"Seattle, WA",2023-01-17 16:09:09,what the hell does he think acab means??,0,Twitter for Android,
Logan Bowers,6072622,"Seattle, WA, USA",2023-01-17 07:18:35,"@BardBorker A few months ago I saw someone be like, “okay, still ACAB, except I saw someone shooting up on the Link… https://t.co/4drZrTiYpd",0,Twitter for iPhone,
Kp,2998898084,"Seattle, WA",2023-01-17 04:12:04,@OLELUCKY711 @KEPsatx @RealMattCouch If only that bill would ever in this life/political climate pass…I’m sure you… https://t.co/bUL8Q55J86,0,Twitter for iPhone,
GatheringWilds,2238987296,"Seattle, WA",2023-01-17 02:29:42,"ACAB 
It's literally tattooed on my fingers, but come on y'all. 
Don't use this opportunity to be a misogynistic sh… https://t.co/kasIQOSytb",0,Twitter for Android,
Baeson,1355617330944897027,"Seattle, WA",2023-01-16 13:14:55,"Just a reminder
#ACAB https://t.co/dcWymYy7tW",14,Twitter for Android,
Barrel Bomb Expert,2230388154,"Seattle, WA",2023-01-16 08:10:24,@MsMarkievicz I don't know about this one. ACAB but I think the ones doing drugs especially Marijuana might be the… https://t.co/pCAJhwaIwI,0,Twitter for Android,
Amber Bird (Varnish),17727352,"Seattle, WA (USA)",2023-01-16 05:05:13,"My main issue with ACAB is that my brain totally and immediately understands who we're talking about, but still goe… https://t.co/XgFnUCZZKC",0,Twitter Web App,
Daniel Carroll,35568043,Seattle,2023-01-15 22:32:47,Elevator so close to sayin’ ACAB https://t.co/aEZ5d6jUYF,0,Twitter for iPhone,
Danny Ellis,606630073,"Portland, OR",2023-01-15 02:01:06,"@patriotvoting @cbouzy Sit the fuck down, context doesn’t matter here. Keenan Anderson was tased for almost 30 seco… https://t.co/4Qe2HIYBke",0,Twitter for iPhone,
Tyler James Hill,1499467448,Seattle WA,2023-01-14 20:55:23,"@butchjax I reported it, but acab you know. Plus the cops have more or less abandoned Capitol.Hill after CHOP",0,Twitter Web App,
Seattle Snob,3321730308,"Seattle, WA",2023-01-14 16:14:42,@doctororlan @SeattlePD No one cares about your personal perspective if your bio includes things like “acab” btw,0,Twitter for iPhone,
misadventures,816567,"Seattle, WA",2023-01-14 00:18:51,"ACAB especially includes Templars. 😆

Okay, see? NOW would be a really good time for that hockey mask emoji I was complaining about earlier.",0,Twitter Web App,
